"id","source","hyperlink","building_type","building","vacancy_rate","household_size","all_uses","du_density","emp_density","Pct_SF_Large_Lot","Pct_SF_Small_Lot","Pct_Attached_SF","Pct_MF_2_to_4","Pct_MF_5_Plus","Pct_Emp_Office_Svc","Pct_Educ_Svc","Pct_Medical_Svc","Pct_Public_Admin","Pct_Retail_Svc","Pct_Restaurant","Pct_Accommodation","Pct_Arts_Entertainment","Pct_Other_Svc","Pct_Manufacturing","Pct_Transport_warehouse","Pct_Wholesale","Pct_Construction_Util","Pct_Agriculture","Pct_Extraction","percent_of_building_type","floors","total_far","parking_spaces","parking_structure_square_feet","residential_efficiency","residential_lot_square_feet","square_feet_per_du","retail_efficiency","retail_square_feet_per_employee","office_efficiency","office_square_feet_per_employee","industrial_efficiency","industrial_square_feet_per_employee","misc_percent_of_retail_use","retail_percent_of_retail_use","restaurant_percent_of_retail_use","grocery_percent_of_retail_use","hardscape_percent","irrigated_percent","impervious_roof_percent","impervious_hardscape_percent","pervious_hardscape_percent","softscape_landscape_percent","id"
69,0,0,"Urban Podium Multi-Family","Low-Rise Residential (SACOG 45. Intense Urban Res)",0.0635,2.245,0,125.5254,20.216196,0,0,0,0,0.95,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,6,2.73,150.63048,49708.06,0.85,0,765,0.85,250,0.85,350,0.85,1000,0,0.8,0.2,0,0.455,0.15,0,0,0,0,1169
70,0,0,"Urban Podium Multi-Family","Low-Rise Residential (SCAG Apt/Condo Hi)",0.0635,2.245,0,111.078,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,4,3,133.2936,43986.89,0.85,0,1000,0.85,750,0.85,350,0.85,1000,0,0.8,0.2,0,0.75,0.5,0,0,0,0,1170
72,0,0,"Urban Podium Multi-Family","Low-Rise Residential (25-35 Dolores, SF)",0.0635,2.245,0,103.9116774,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4,2.61,88.9,29337,0.85,0,930,0.85,450,0.85,350,0.85,1000,0,0.8,0.2,0,0.6525,0.5,0,0,0,0,1172
73,0,0,"Urban Podium Multi-Family","Low-Rise Residential (Ironhorse Family Apartments, Oakland)",0.0635,1.835,0,63.42077228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4,1.73,76.10492673,25114.63,0.85,0,1010,0.85,500,0.85,350,0.85,1000,0,0.8,0.2,0,0.4325,0.2,0,0,0,0,1173
74,0,0,"Urban Podium Multi-Family","Low-Rise Residential (MODA Lofts, Stapleton, Denver)",0.0635,2.245,0,79.96040426,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,4,2.03,127.42,42048.6,0.85,0,940,0.85,500,0.85,350,0.85,1000,0,0.8,0.2,0,0.97,0.5,0.97,0,0,0,1174
75,0,0,"Urban Podium Multi-Family","Low-Rise Residential (Darling Florist Bldg, Berkeley)",0.0635,1.635,0,199.9404,33.3234,0,0,0,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,5,4.5,239.92848,79176.4,0.85,0,750,0.85,500,0.85,350,0.85,1000,0,0.8,0.2,0,0.98,0.5,0.98,0,0,0,1175
80,0,0,"Standard Podium Multi-Family","Low-Rise Residential (Avalon Apts (Cahill Park), San Jose)",0.0635,1.835,0,59.2416,11.9,0,0,0,0,0.919679084,0,0,0,0,0.080320916,0,0,0,0,0,0,0,0,0,0,0.55,4,2,74.052,24437.16,0.85,0,1150,0.85,500,0.85,350,0.85,1000,0,0.8,0.2,0,0.6,0.2,0.6,0,0,0,1280
82,0,0,"Standard Podium Multi-Family","Low-Rise Residential (Ironhorse Family Apartments, Oakland) 1",0.0635,2.245,0,63.42077228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4,1.73,79.27596535,26161.07,0.85,0,1010,0.85,475,0.85,350,0.85,1000,0,0.8,0.2,0,0.4325,0.15,0,0,0,0,1282
83,0,0,"Standard Podium Multi-Family","Low-Rise Residential (MODA Lofts, Stapleton, Denver) 2",0.0635,2.245,0,79.96040426,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,4,2.03,127.42,42048.6,0.85,0,940,0.85,500,0.85,350,0.85,1000,0,0.8,0.2,0,0.97,0.5,0.97,0,0,0,1283
87,0,0,"Suburban Multifamily Apt/Condo","Multifamily Apt/Condo (Lenzen Square, San Jose)",0.0635,1.845,0,54.59766102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3,0.87,109.195322,36034.46,0.85,0,590,0.85,500,0.85,350,0.85,1000,0,0,0,0,0.6,0.5,0.6,0,0,0,1387
